 
ReceiptID : 47213527,  Receipt Date : 08/09/2022, Sale Amount : 20.89, Sum Amount : 20.89
ReceiptID : 58462358,  Receipt Date : 08/23/2022, Sale Amount : 79.66, Sum Amount : 100.55
ReceiptID : 78496352,  Receipt Date : 03/10/2023, Sale Amount : 84.64, Sum Amount : 185.19
ReceiptID : 98598969,  Receipt Date : 05/16/2023, Sale Amount : 52.64, Sum Amount : 237.82999999999998
ReceiptID : 85475826,  Receipt Date : 11/23/2023, Sale Amount : 11, Sum Amount : 248.82999999999998
ReceiptID : 89658754,  Receipt Date : 07/04/2023, Sale Amount : 110.5, Sum Amount : 359.33
ReceiptID : 84758496,  Receipt Date : 01/20/2023, Sale Amount : 36.33, Sum Amount : 395.65999999999997
ReceiptID : 74859625,  Receipt Date : 02/25/2023, Sale Amount : 101.4, Sum Amount : 497.05999999999995
ReceiptID : 95682635,  Receipt Date : 10/03/2023, Sale Amount : 9.25, Sum Amount : 506.30999999999995
ReceiptID : 78452569,  Receipt Date : 04/06/2023, Sale Amount : 70, Sum Amount : 576.31
ReceiptID : 74852458,  Receipt Date : 08/07/2023, Sale Amount : 94.34, Sum Amount : 670.65
ReceiptID : 86598748,  Receipt Date : 11/28/2023, Sale Amount : 45, Sum Amount : 715.65
ReceiptID : 58978541,  Receipt Date : 01/30/2023, Sale Amount : 22.1, Sum Amount : 737.75
ReceiptID : 48574853,  Receipt Date : 03/16/2023, Sale Amount : 54.57, Sum Amount : 792.32
ReceiptID : 69587562,  Receipt Date : 04/15/2023, Sale Amount : 24.5, Sum Amount : 816.82
ReceiptID : 85687562,  Receipt Date : 05/15/2023, Sale Amount : 52.16, Sum Amount : 868.98
ReceiptID : 15248763,  Receipt Date : 06/19/2023, Sale Amount : 110, Sum Amount : 978.98
ReceiptID : 15423625,  Receipt Date : 02/15/2023, Sale Amount : 18.6, Sum Amount : 997.58
ReceiptID : 85874868,  Receipt Date : 03/15/2023, Sale Amount : 64.37, Sum Amount : 1061.95
ReceiptID : 85956247,  Receipt Date : 10/15/2023, Sale Amount : 67.2, Sum Amount : 1129.15
ReceiptID : 59623054,  Receipt Date : 10/22/2023, Sale Amount : 25.76, Sum Amount : 1154.91
ReceiptID : 14523054,  Receipt Date : 11/21/2023, Sale Amount : 174.56, Sum Amount : 1329.47
ReceiptID : 25491845,  Receipt Date : 12/11/2023, Sale Amount : 111.6, Sum Amount : 1441.07
ReceiptID : 25148669,  Receipt Date : 08/08/2023, Sale Amount : 24.92, Sum Amount : 1465.99
ReceiptID : 85978669,  Receipt Date : 08/15/2023, Sale Amount : 46.28, Sum Amount : 1512.27
ReceiptID : 98659847,  Receipt Date : 01/26/2023, Sale Amount : 68.32, Sum Amount : 1580.59
ReceiptID : 98574854,  Receipt Date : 01/03/2023, Sale Amount : 17.7, Sum Amount : 1598.29
ReceiptID : 78485601,  Receipt Date : 03/30/2023, Sale Amount : 44, Sum Amount : 1642.29
ReceiptID : 89565654,  Receipt Date : 04/16/2023, Sale Amount : 61.2, Sum Amount : 1703.49
ReceiptID : 15485142,  Receipt Date : 05/16/2023, Sale Amount : 76.5, Sum Amount : 1779.99
